Date,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of death cases,Number of discharge cases,Number of hospitalised cases in critical condition,Number of death cases related to COVID-19
08-Jan-20,0,21,17,0,0,,
09-Jan-20,0,25,23,0,0,,
10-Jan-20,0,31,23,0,0,,
11-Jan-20,0,46,15,0,0,,
12-Jan-20,0,51,16,0,0,,
13-Jan-20,0,56,12,0,0,,
14-Jan-20,0,60,11,0,0,,
15-Jan-20,0,66,10,0,0,,
16-Jan-20,0,71,7,0,0,,
17-Jan-20,0,75,6,0,0,,
18-Jan-20,0,76,14,0,0,,
19-Jan-20,0,80,19,0,0,,
20-Jan-20,0,81,25,0,0,,
21-Jan-20,0,88,30,0,0,,
22-Jan-20,0,97,38,0,0,,
23-Jan-20,2,109,65,0,0,,
24-Jan-20,5,122,117,0,0,,
25-Jan-20,5,163,137,0,0,,
26-Jan-20,8,219,155,0,0,,
27-Jan-20,8,276,167,0,0,,
28-Jan-20,8,332,189,0,0,,
29-Jan-20,10,416,159,0,0,,
30-Jan-20,12,478,191,0,0,,
31-Jan-20,13,550,203,0,0,,
01-Feb-20,14,634,188,0,0,,
02-Feb-20,15,699,168,0,0,,
03-Feb-20,15,744,159,0,0,,
04-Feb-20,18,808,157,1,0,,
05-Feb-20,21,868,154,1,0,,
06-Feb-20,24,920,158,1,0,,
07-Feb-20,26,975,158,1,0,,
08-Feb-20,26,1035,141,1,0,,
09-Feb-20,36,1066,129,1,0,,
10-Feb-20,42,1089,143,1,0,,
11-Feb-20,49,1123,154,1,0,,
12-Feb-20,50,1164,170,1,1,,
13-Feb-20,53,1222,161,1,1,,
14-Feb-20,56,1274,142,1,1,,
15-Feb-20,56,1312,149,1,1,,
16-Feb-20,57,1341,136,1,2,,
17-Feb-20,60,1366,123,1,2,,
18-Feb-20,61,1384,133,1,4,,
19-Feb-20,63,1417,129,2,5,,
20-Feb-20,67,1448,113,2,5,,
21-Feb-20,68,1472,111,2,6,,
22-Feb-20,68,1494,108,2,11,,
23-Feb-20,74,1510,119,2,12,,
24-Feb-20,77,1538,116,2,19,,
25-Feb-20,85,1566,112,2,18,,
26-Feb-20,91,1601,128,2,24,,
27-Feb-20,92,1663,134,2,26,,
28-Feb-20,94,1718,124,2,30,,
29-Feb-20,94,1770,120,2,33,,
01-Mar-20,97,1805,129,2,36,,
02-Mar-20,99,1853,135,2,36,,
03-Mar-20,100,1898,136,2,37,,
